"","cencosud","bci","copec","colbun","cmpc","conchatoro","ccu","sqm-b","tang_port_d"
"delta",0,-0.0201466275680552,0.057777777774993,-0.0291666666522462,-0.00271739132952862,0.0155389178830916,-0.0413839891392946,0.108901044229859,-0.0102771548256271
"delta",-0.0303030303039774,-0.0871816358749274,-0.110784313719683,-0.118454935591476,-0.100817438699694,-0.057935735132211,-0.130360934191048,-0.0378475336062018,-0.111358893505249
"delta",-0.072802083325982,-0.0491803278858055,-0.228209166808933,-0.0944498539407685,0.108484848533367,-0.19991240874594,-0.0445800781122382,-0.0892990305743594,0.0110926734780771
"delta",0.134691217936032,0.106666747906587,0.0648762270203874,0.317204301059473,-0.0159103335082157,0.217592592629469,0.050557462606584,0.0158648924960603,0.12607136392509
"delta",-0.0452116738304949,-0.125750048403565,-0.0254043670631438,0.135965615911416,-0.0917083243122905,-0.104248226365229,-0.035333333320827,0.000849285497019602,-0.0416124405766696
"delta",0.229946524064171,0.0295571955612935,0.0910891089108911,0.000611060176926618,0.00122699386503067,0.111217391378294,0.0219419488471301,0.094571573061943,-0.0349869759131494
"delta",0.14695652173913,-0.0322927493585241,0.121597096188748,0.0457251908368367,0.0275735294117647,-0.0140073558649342,-0.00574809805552472,0.0786148806682589,-0.0253869062557528
"delta",-0.128127369219105,-0.0467691446168905,-0.0775080906148867,-0.124023651406003,-0.0369707811568277,0.0706349206807904,-0.130913110013361,0.0543600867709008,0.00498528638376399
"delta",0,0.0122448979591837,0.032801262936327,0.057500000048413,0.021671826625387,-0.0441295616273643,-0.0079826260408909,0.0492531785894809,0.0148590786692237
"delta",-0.0652173913043478,-0.0241532258064516,0.00203804347826087,-0.0803782506092142,-0.0253939393939394,-0.0402862031373796,-0.151923949267711,0.120838758235244,-0.038885234798351
"delta",0.224837209302326,0.0991281352010247,0.0254237288135593,0.0454155955198943,0.0261177787451029,0.0648298217009544,0.253488372090728,0.27083185840708,-0.0134554492886535
"delta",-0.039264828738513,0.0484962406015038,0.191735537190083,0.0577405374272987,0.133264650627235,-0.044404874106848,-0.0164241447484269,-0.036238544887329,0.0910542716142174
"delta",0.0080632411067194,0.104338472570814,0.0707350901525659,0.00956175298804783,0.0508021390374332,-0.043527599912852,0.147322279397751,0.0736994219653179,0.0141288061910841
"delta",0.111590338770389,0.0194805194805195,0.0571243523316062,0.0670876085240725,0.0738931297709923,-0.00423728811793673,0.037375415282392,0.044414535666218,0.032963546775554
"delta",0.0934744268077601,0.202229299363057,0.0966793285136625,0.0588757396449705,0.0923135247843807,0.0376205550720347,0.0568454763811049,-0.0242268041237113,0.0606799418243062
